"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools"
"1",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Somewhat useful",NA,NA,"DBA/Database Engineer","Random Forests","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Most of the time",NA,NA,NA,NA,"Do not know"
"2",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Random Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Very useful",NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Very useful","Very useful",NA,"Very useful","Very useful",NA,NA,NA,"Very useful","Very useful","Very useful",NA,NA,NA,NA,NA,NA,"Operations Research Practitioner","Neural Nets","Often","Often","Often","Often","Often","Often",NA,"Often","Often","Often","Most of the time","Often","Often","Often",NA,"Often","Often","Often","Often","Often","Often",NA,"Entirely internal"
"5","Very useful",NA,NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Computer Scientist","Text Mining","Often","Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes","Sometimes","Sometimes",NA,NA,NA,"Sometimes",NA,"Most of the time",NA,"Sometimes",NA,NA,NA,"Approximately half internal and half external"
"6",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Genetic & Evolutionary Algorithms",NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"7","Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful",NA,NA,NA,"Computer Scientist","Text Mining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"8",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Very useful",NA,"Very useful","Very useful","Very useful","Very useful","Very useful","Very useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Business Analyst","Link Analysis",NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"10","Somewhat useful","Somewhat useful",NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful","Very useful","Very useful","Very useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Software Developer/Software Engineer","Deep learning",NA,"Sometimes",NA,NA,"Often","Often",NA,NA,"Often",NA,"Sometimes",NA,"Rarely",NA,NA,"Sometimes","Rarely","Rarely",NA,NA,NA,NA,"Do not know"
